date;Conductivity;Temperature;Pressure;Temperature;Dissolved O2 concentration;PAR;pH;Chlorophyll-a;FDOM;Turbidity;Sea pressure;Depth;Salinity;Speed of sound;Specific conductivity;Dissolved O2 saturation;Density anomaly
2024-09-12 09:42:43,500;-0,000728776038158685;16,3544311523437;10,1381416320801;17,8118000030518;348,763458251953;2052,78588867187;6,12638092041016;1,02950000762939;2,8345000743866;0,283649981021881;0,00564193725585938;0,0055959289893508;0;1470,60461425781;-0,872921943664551;113,992607116699;-1,11393157876046
2024-09-12 09:42:44,000;-0,000522549555171281;16,3588256835938;10,1433639526367;17,8118000030518;348,763519287109;2063,66821289062;5,87198638916016;2,4115002155304;1,39300000667572;0,305049985647202;0,0108642578125;0,010775662958622;0;1470,61950683594;-0,625842690467835;114,003227233887;-1,11463924710017
2024-09-12 09:42:44,500;-0,000612823525443673;16,3653259277344;10,1382789611816;17,8200988769531;346,762451171875;2066,583984375;6,20908069610596;0,408000022172928;2,03400015830994;0,292849987745285;0,00577926635742188;0,00573213817551732;0;1470,64147949219;-0,733852088451386;113,364715576172;-1,11574588552116
2024-09-12 09:42:45,000;-0,00042707912507467;16,3682556152344;10,1365442276001;17,8200988769531;346,762420654297;2063,70751953125;5,96310186386108;-0,318000018596649;0,698500037193298;0,295800000429153;0,00404453277587891;0,00401155091822147;0;1470,6513671875;-0,511390149593353;113,371696472168;-1,11624222251044
2024-09-12 09:42:45,500;-0,000541299465112388;16,3712768554688;10,140362739563;17,8251991271973;349,074645996094;2059,85791015625;6,30003166198731;-1,21850001811981;1,807000041008;0,290299981832504;0,00786304473876953;0,00779892411082983;0;1470,66162109375;-0,648114264011383;114,134979248047;-1,11672813786402
2024-09-12 09:42:46,000;-0,000462843017885461;16,37451171875;10,1328077316284;17,8251991271973;349,074584960937;2056,72631835938;6,04262924194336;-1,41450011730194;1,73900008201599;0,284999996423721;0,000308036804199219;0,000305524852592498;0;1470,67248535156;-0,554135024547577;114,142730712891;-1,11730258440355
2024-09-12 09:42:46,500;-0,000352086994098499;16,3780822753906;10,1377439498901;17,8323993682861;348,626708984375;2019,62951660156;6,38312005996704;0,914000034332275;0,91700005531311;0,267899990081787;0,00524425506591797;0,0052014896646142;0;1470,6845703125;-0,421498835086823;114,004920959473;-1,11787514792525
2024-09-12 09:42:47,000;-0,000561804394237697;16,3866271972656;10,1356773376465;17,8323993682861;348,626708984375;2163,26538085938;5,8637113571167;1,12700009346008;1,54250001907349;0,29449999332428;0,00317764282226562;0,00315173016861081;0;1470,71337890625;-0,672429442405701;114,025497436523;-1,11931041441494
2024-09-12 09:42:47,500;-5,21222318639047E-05;16,4037780761719;10,1384077072144;17,8456993103027;349,429229736328;2412,00439453125;6,86510705947876;12,6750001907349;-8,66650009155273;-0,422199994325638;0,00590801239013672;0,00585983414202929;0;1470,77136230469;-0,0623611807823181;114,329368591309;-1,1221617741412
2024-09-12 09:42:48,000;-0,00050207122694701;16,4239501953125;10,1360778808594;17,8456993103027;349,42919921875;2540,05810546875;3,58423924446106;1,33650004863739;1,79100012779236;0,345449984073639;0,00357818603515625;0,00354900700040162;0;1470,83935546875;-0,600421845912933;114,378105163574;-1,125545425273
